simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-1.1381037
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.98861897
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-1.13810301E-02
Actual,Actual,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,1.0678203
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,1.0000000
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,96680.188
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,957.22656
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,7.0000000
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,6827.2266
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,446.64111
Actual,Actual,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,2.0000000
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-1.1253544
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.98874646
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-1.12535357E-02
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,1.0679066
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,1.0000000
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,96680.188
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,957.22656
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,7.0000000
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,6827.2266
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,446.64111
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,2.0000000
