simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,332.05814
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,4.3205814
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,3.3205814
GTAP-E,GTAP-E,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,-364.61874
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,-1176.8606
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,-1030802.9
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-1126525.9
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-7789.7178
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,-490649.00
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-497029.59
GTAP-E,GTAP-E,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,2012.5757
