simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,183.22041
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,72.546646
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,165166.77
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,69443.805
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,47.990955
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,9442.6895
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,3062.1040
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-1.8337928
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Percent Change,No Variable Description Available,-29.453957
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PostLevel,No Variable Description Available,0.70546043
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-0.29453957
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Oil"":""USA"")",Percent Change,No Variable Description Available,0.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Percent Change,No Variable Description Available,8.5551004
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PreLevel,No Variable Description Available,222488.91
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PostLevel,No Variable Description Available,241523.06
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Absolute Change,No Variable Description Available,19034.156
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Percent Change,No Variable Description Available,45.892269
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PreLevel,No Variable Description Available,669.97400
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PostLevel,No Variable Description Available,977.44025
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Absolute Change,No Variable Description Available,307.46625
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Oil"":""USA"")",Percent Change,No Variable Description Available,-2.4738965
