simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,186.86745
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,134.29749
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,224276.48
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,128553.52
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,39.427010
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,8896.2598
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,2515.6743
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,22.611916
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Percent Change,No Variable Description Available,-29.689560
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PostLevel,No Variable Description Available,0.70310438
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-0.29689562
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Oil"":""USA"")",Percent Change,No Variable Description Available,0.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Percent Change,No Variable Description Available,6.4511189
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PreLevel,No Variable Description Available,222488.91
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PostLevel,No Variable Description Available,236841.94
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Absolute Change,No Variable Description Available,14353.031
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Percent Change,No Variable Description Available,51.833305
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PreLevel,No Variable Description Available,669.97400
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PostLevel,No Variable Description Available,1017.2437
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Absolute Change,No Variable Description Available,347.26965
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Oil"":""USA"")",Percent Change,No Variable Description Available,-5.8919802
