simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E,GTAP-E,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,37.555584
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,155.73602
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,244798.09
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,149075.12
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,1044.8215
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,73046.312
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,66665.727
GTAP-E,GTAP-E,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-274.11691
