simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,122.83096
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,224.20827
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,310341.75
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,214618.78
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,940.75769
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,66406.438
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,60025.852
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-201.23230
