simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-1.1381037
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.98861897
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-1.13810301E-02
Actual,Actual,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,1.0678203
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,1.0000000
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,96680.188
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,957.22656
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,7.0000000
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,6827.2266
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,446.64111
Actual,Actual,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,2.0000000
GTAP-E-J,GTAP-E-J,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-J,GTAP-E-J,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-J,GTAP-E-J,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-J,GTAP-E-J,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-J,GTAP-E-J,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,30.470318
GTAP-E-J,GTAP-E-J,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,137.70026
GTAP-E-J,GTAP-E-J,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-J,GTAP-E-J,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,227533.72
GTAP-E-J,GTAP-E-J,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,131810.75
GTAP-E-J,GTAP-E-J,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,926.15094
GTAP-E-J,GTAP-E-J,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-J,GTAP-E-J,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,65474.438
GTAP-E-J,GTAP-E-J,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,59093.852
GTAP-E-J,GTAP-E-J,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-244.01802
