simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,221.47029
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,888.31915
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,946048.38
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,850325.44
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,11119.479
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,715868.50
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,709487.94
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,42.702747
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Percent Change,No Variable Description Available,-27.814579
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PostLevel,No Variable Description Available,0.72185421
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-0.27814579
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Oil"":""USA"")",Percent Change,No Variable Description Available,0.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Percent Change,No Variable Description Available,-10.524243
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PreLevel,No Variable Description Available,222488.91
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PostLevel,No Variable Description Available,199073.62
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-23415.281
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Percent Change,No Variable Description Available,-6.4192719
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PreLevel,No Variable Description Available,669.97400
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PostLevel,No Variable Description Available,626.96655
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-43.007446
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Oil"":""USA"")",Percent Change,No Variable Description Available,1.6883866
