simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-50.452774
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.49547225
Actual,Actual,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.50452775
Actual,Actual,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,47.677082
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,47.711308
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,141393.64
Actual,Actual,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,45670.680
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,47.711308
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,9424.8467
Actual,Actual,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,3044.2612
Actual,Actual,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-30.743711
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,297.67181
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,2117.7854
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,2122929.8
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,2027206.8
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,28711.676
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,1838353.6
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,1831973.0
GTAP-E-Gragg,GTAP-E-Gragg,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-99.746368
