simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,84.472656
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,273.81396
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,357825.78
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,262102.81
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,1819.0441
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,122446.25
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,116065.66
GTAP-E-Beckman2010,GTAP-E-Beckman2010,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-467.39401
