simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,189.60880
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,206.96014
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,293831.34
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,198108.38
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,410.67310
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,32583.934
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,26203.348
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-99.999489
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Percent Change,No Variable Description Available,-29.405117
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PostLevel,No Variable Description Available,0.70594883
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-0.29405117
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Oil"":""USA"")",Percent Change,No Variable Description Available,0.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Percent Change,No Variable Description Available,5.5266418
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PreLevel,No Variable Description Available,222488.91
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PostLevel,No Variable Description Available,234785.08
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Absolute Change,No Variable Description Available,12296.172
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Percent Change,No Variable Description Available,44.457684
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PreLevel,No Variable Description Available,669.97400
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PostLevel,No Variable Description Available,967.82892
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Absolute Change,No Variable Description Available,297.85492
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Oil"":""USA"")",Percent Change,No Variable Description Available,-4.0562973
