simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,23.719364
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,17.444784
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,112421.62
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,16698.664
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,24.831549
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,7964.9834
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,1584.3979
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-0.26539525
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Oil"":""USA"")",Percent Change,No Variable Description Available,-44.058502
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Oil"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Oil"":""USA"")",PostLevel,No Variable Description Available,0.55941498
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"pm(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-0.44058502
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"aoall(""Oil"":""USA"")",Percent Change,No Variable Description Available,0.0000000
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Oil"":""USA"")",Percent Change,No Variable Description Available,17.446821
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Oil"":""USA"")",PreLevel,No Variable Description Available,222488.91
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Oil"":""USA"")",PostLevel,No Variable Description Available,261306.14
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qo(""Oil"":""USA"")",Absolute Change,No Variable Description Available,38817.234
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Oil"":""USA"")",Percent Change,No Variable Description Available,87.157791
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Oil"":""USA"")",PreLevel,No Variable Description Available,669.97400
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Oil"":""USA"")",PostLevel,No Variable Description Available,1253.9086
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qxw(""Oil"":""USA"")",Absolute Change,No Variable Description Available,583.93457
GTAP-E-Custom-J,GTAP-E-Custom-J,Unknown Sector,"qiw(""Oil"":""USA"")",Percent Change,No Variable Description Available,-16.421671
