simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E,GTAP-E,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E,GTAP-E,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,30.470318
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,137.70026
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,227533.72
GTAP-E,GTAP-E,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,131810.75
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,926.15094
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,65474.438
GTAP-E,GTAP-E,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,59093.852
GTAP-E,GTAP-E,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-244.01802
